Seq;Power W;BatBMS V;BatCHG V;GRID V;GRID A;BatPers %;BatCur A;CHG AH;DIS AH;Pv AH;Site AH
9632; 564;53.69;53.39;237.90;0.00;   76;-0.57;  1.01;14.39;41.88;2693.97
9642; 566;55.20;53.39;237.80;0.00;   76;-0.57;  1.01;14.39;41.88;2693.97
9652; 566;53.69;53.39;237.60;0.00;   76;-0.57;  1.01;14.39;41.88;2693.97
9662; 565;55.20;53.39;237.80;0.00;   76;-0.57;  1.02;14.39;41.92;2717.43
9672; 564;55.20;53.39;237.90;0.00;   76;-0.56;  1.02;14.39;41.92;2717.43
9682; 592;53.70;53.40;237.50;0.00;   76;-0.60;  1.02;14.39;41.92;2717.43
9692; 575;55.20;53.22;5.70;0.00;   76;11.20;  1.02;14.39;41.92;2717.43
9702; 561;53.50;53.20;5.50;0.00;   76;10.95;  1.02;14.39;41.92;2717.43
9712; 562;53.47;53.17;5.80;0.00;   76;10.98;  1.02;14.39;41.92;2717.43
9722; 567;53.47;53.17;5.80;0.00;   76;11.05;  1.02;14.49;41.95;2726.99
9732; 561;55.20;53.16;5.70;0.00;   76;10.97;  1.02;14.49;41.95;2726.99
9742; 562;53.44;53.14;5.80;0.00;   76;10.98;  1.02;14.49;41.95;2726.99
9752; 570;53.43;53.13;5.70;0.00;   76;11.14;  1.02;14.49;41.95;2726.99
9762; 563;55.17;53.13;5.70;0.00;   76;11.01;  1.02;14.49;41.95;2726.99
9772; 563;55.17;53.12;5.70;0.00;   76;11.00;  1.02;14.49;41.95;2726.99
9782; 570;53.41;53.11;5.70;0.00;   76;11.17;  1.02;14.67;41.99;2736.39
9792; 562;55.17;53.11;5.70;0.00;   76;11.00;  1.02;14.67;41.99;2736.39
9802; 563;53.41;53.11;5.80;0.00;   76;11.01;  1.02;14.67;41.99;2736.39
9812; 567;53.40;53.10;5.70;0.00;   76;11.09;  1.02;14.67;41.99;2736.39
9822; 557;55.14;53.10;5.70;0.00;   76;10.93;  1.02;14.67;41.99;2736.39
9832; 560;53.39;53.09;5.70;0.00;   76;11.00;  1.02;14.67;41.99;2736.39
9842; 567;55.12;53.09;5.70;0.00;   76;11.09;  1.02;14.85;42.03;2745.79
9852; 562;55.12;53.09;5.70;0.00;   76;11.02;  1.02;14.85;42.03;2745.79
9862; 563;53.38;53.08;5.50;0.00;   76;11.03;  1.02;14.85;42.03;2745.79
9872; 566;55.12;53.08;5.70;0.00;   76;11.06;  1.02;14.85;42.03;2745.79
9882; 563;55.12;53.08;5.80;0.00;   76;10.94;  1.02;14.85;42.03;2745.79
9892; 558;55.12;53.07;5.70;0.00;   76;10.91;  1.02;14.85;42.03;2745.79
9902; 558;53.37;53.07;5.70;0.00;   76;10.92;  1.02;15.04;42.07;2755.16
9912; 562;53.37;53.07;5.70;0.00;   76;10.94;  1.02;15.04;42.07;2755.16
9922; 556;55.10;53.07;5.70;0.00;   76;10.90;  1.02;15.04;42.07;2755.16
9932; 562;53.36;53.06;5.70;0.00;   75;10.92;  1.02;15.04;42.07;2755.16
9942; 561;53.36;53.05;5.70;0.00;   75;10.97;  1.02;15.04;42.07;2755.16
9952; 560;55.10;53.05;5.50;0.00;   75;10.99;  1.02;15.04;42.07;2755.16
9962; 581;53.34;53.04;5.50;0.00;   75;11.40;  1.02;15.22;42.11;2764.48
9972; 550;55.08;53.05;5.70;0.00;   75;10.81;  1.02;15.22;42.11;2764.48
9982; 714;53.33;53.05;5.70;0.00;   75;10.80;  1.02;15.22;42.11;2764.48
9992; 551;53.34;53.01;5.70;0.00;   75;12.87;  1.02;15.22;42.11;2764.48
10002; 554;55.10;53.04;5.70;0.00;   75;10.87;  1.02;15.22;42.11;2764.48
10012; 704;53.28;52.97;5.50;0.00;   75;14.93;  1.02;15.22;42.11;2764.48
10022; 705;53.28;52.98;5.50;0.00;   75;13.91;  1.02;15.43;42.15;2774.57
10032; 565;53.32;52.99;5.70;0.00;   75;13.29;  1.02;15.43;42.15;2774.57
10042; 565;55.05;53.02;5.70;0.00;   75;11.09;  1.02;15.43;42.15;2774.57
10052; 639;53.29;52.99;5.70;0.00;   75;12.61;  1.02;15.43;42.15;2774.57
10062; 551;55.05;53.02;5.70;0.00;   75;10.76;  1.02;15.43;42.15;2774.57
10072; 670;53.28;53.01;5.70;0.00;   75;10.85;  1.02;15.43;42.15;2774.57
10082; 702;55.05;52.97;5.50;0.00;   75;13.83;  1.02;15.63;42.19;2785.01
10092; 722;55.03;52.96;5.70;0.00;   75;14.26;  1.02;15.63;42.19;2785.01
